name,brand,image_url,gender,notes,season_tags,time_tags,brand_tag,activity,weather,desired_impression,emotion_cluster
Body Kouros,Yves Saint Laurent,"https://m.media-amazon.com/images/I/51NHR6l1MfL._AC_UF1000,1000_QL80_.jpg",men,"benzoin, chinese cedar, clary sage",spring,night,Yves Saint Laurent,work,any,"confident, fresh",1
First,Van Cleef & Arpels,https://m.media-amazon.com/images/I/51czF0pfOAL.jpg,women,"amber, carnation, civet, hiacynth, honey, jasmine, lilyofthevalley, musk, narcissus, oakmoss, orchid, orris root, rose, sandalwood, tonka bean, tuberose, vanilla, vetiver, ylangylang",fall,night,Van Cleef & Arpels,date,cold,"elegant, friendly",4
Narciso Rodriguez,NARCISO RODRIGUEZ,https://m.media-amazon.com/images/I/719IpQOO-EL.jpg,women,"amber, musk, patchouli, sandalwood",winter,night,NARCISO RODRIGUEZ,date,cold,"confident, mysterious",0
S.T. Dupont,S.T.Dupont,"https://m.media-amazon.com/images/I/51vWYxd+FML._AC_UF1000,1000_QL80_.jpg",men,"amber, carnation, cinnamon, cypress, iris, lavender and jasmine, musk and coconut, patchouli, sandalwood",spring,night,S.T.Dupont,date,cold,"confident, fresh",5
Knowing,Estee Lauder,https://m.esteelauder.com/media/export/cms/products/640x640/el_sku_440901_640x640_0.jpg,women,"jasmine, oakmoss, patchouli and orange flower, sandalwood and amber, vetiver",fall,night,Estee Lauder,date,cold,"elegant, friendly",2
Grey Flannel For Men,Geoffrey Beene,https://m.media-amazon.com/images/I/71aBYB+DQlL.jpg,men,"almond, geranium and narcissus, iris, mimose, oakmoss, rose, sage, tonka bean, vetiver and cedar, violet",spring,night,Geoffrey Beene,work,cold,"confident, fresh",1
The Only One,Dolce & Gabbana,https://media.ulta.com/i/ulta/2539508?w=1600&h=1600&fmt=auto,women,"coffee, iris, marshmallow, sandalwood and heliotrope, vanilla",fall,night,Dolce & Gabbana,casual,cold,"elegant, friendly",3
Al Wisam Day,Rasasi,"https://m.media-amazon.com/images/I/61SN3OKgETL._AC_UF1000,1000_QL80_.jpg",men,"amber nuanced clary sage, and rich and musty oud, and woody cedarwood, oak moss, soft and milky sandalwood",fall,night,Rasasi,date,cold,"confident, fresh",1
Black Vanilla,Mancera,"https://m.media-amazon.com/images/I/716lHHOMLLL._AC_UF1000,1000_QL80_.jpg",unisex,"and jasmine, delicate bulgarian rose, vanilla pods from madagascar and white musk, violet",spring,night,Mancera,date,cold,"confident, mysterious",1
Addict,Dior,https://m.media-amazon.com/images/I/51VuLWG+7pL.jpg,women,"bulgarian rose and orange flower, night queen flower, sandal wood and tonka bean, vanilla",fall,night,Dior,casual,cold,"elegant, friendly",3
Passenger,S.T.Dupont,https://m.media-amazon.com/images/I/61nvSnojczL.jpg,men,"benzoin, cardamom, ginger, guaiac wood, lavender, pink pepper",spring,night,S.T.Dupont,casual,any,"confident, fresh",1
Brit Rhythm Intense,BURBERRY,https://i5.walmartimages.com/asr/6cd604ee-e7a5-450e-908d-5147647de27d_1.8fdb8b1a18afec5100ca75d0302049ce.jpeg,men,"amber, basil, cashmere wood, coumarin, guaiac wood, lavender, leather, mint, patchouli, sandalwood, tonka beans, vanilla",spring,night,BURBERRY,date,cold,"confident, fresh",5
CK Be,Calvin Klein,https://i5.walmartimages.com/seo/Calvin-Klein-Ck-Be-Eau-De-Toilette-3-4-Oz_7176b730-31ba-418d-a1b9-4570c34051cd.46bb814e0a48b93aec52d428e9ae6f87.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,men,"amber, cedar, freesia, green grass, jasmine, magnolia, musk, opoponax, orchid, peach, sandalwood, vanilla",spring,night,Calvin Klein,date,cold,"elegant, friendly",0
Guilty,GUCCI,https://m.media-amazon.com/images/I/51QkWYSc8oL.jpg,women,"amber, lilac, patchouli, peach, raspberry vilolet",fall,night,GUCCI,date,cold,"elegant, friendly",5
Starlight,AIGNER,"https://m.media-amazon.com/images/I/61ZQGyQrOSL._AC_UF1000,1000_QL80_.jpg",women,"cumin, jasmine and strawberries, patchouli, sandalwood, vanilla and white musk",fall,night,AIGNER,date,cold,"elegant, friendly",5
Azure,BENTLEY,"https://m.media-amazon.com/images/I/81dVo1EIfiL._AC_UF1000,1000_QL80_.jpg",men,"cashmere wood, lavender and clary sage, pimento, tea accord, tonka bean and orcanox",spring,day,BENTLEY,casual,cold,"confident, fresh",1
Dylan Blue,VERSACE,https://www.versace.com/dw/image/v2/BGWN_PRD/on/demandware.static/-/Sites-ver-master-catalog/default/dw2a9c45f7/original/90_R721010-R100MLS_RNUL_22_DylanBluePourHommeEDT100ml--Versace-online-store_1_1.jpg?sw=1200&q=85&strip=true,men,"ambroxan, black pepper, frankincense, musk, papyrus, patchouli, saffron, tonka beans, violet leaves",spring,day,VERSACE,date,cold,"confident, fresh",5
Modern Muse,Estee Lauder,https://m.esteelauder.com/media/export/cms/products/640x640/el_sku_YF3201_640x640_0.jpg,women,"amber, honey suckle, jasmine, lily, musk, patchouli, tuberose, woody notes",fall,night,Estee Lauder,date,cold,"elegant, friendly",0
La Nuit De L'Homme L'Intense,Yves Saint Laurent,https://www.yslbeauty.com/dw/image/v2/BDCR_PRD/on/demandware.static/-/Sites-ysl-master-catalog/default/dw12631bba/square/Fragrance/ForHim/LNDH%20Intense/3614270988660_100_la-nuit-de-l-homme-yves-saint-laurent-parfum-intense_Alt1.png,men,"patchouli, sage, tonka bean, vanilla",fall,night,Yves Saint Laurent,casual,cold,"pure, friendly",3
Vivi La Juicy Limited Edition,Juicy Couture,https://i.ebayimg.com/images/g/3sMAAOSw0JpV4fxQ/s-l1200.jpg,women,"amber, and jasmine, caramel, gardenia, honeysuckle, sandalwood and pralines, vanilla",fall,night,Juicy Couture,date,cold,"elegant, friendly",3
Splandid,Laura Mars,https://i.ebayimg.com/images/g/58MAAOSwWcBeuYOX/s-l1200.jpg,women,"amber, geranium, jasmine, neroli and ylangylan, vanilla",fall,night,Laura Mars,date,cold,"elegant, friendly",0
Stronger With You,GIORGIO ARMANI,https://www.giorgioarmanibeauty-usa.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-gab-master-catalog/default/dw0a8e99ac/products/2025/SWY%20PARFUM/3614274219579_100ML_SWYPARF/3614274219579_01.jpg,men,"amber wood, cedar, chestnut, cinnamon, guaiac wood, lavender, melon, pineapple, sage, vanilla",fall,night,GIORGIO ARMANI,date,cold,"pure, friendly",3
Chloe,CHLOE,https://www.chloe.com/product_image/46467853gk/r/w1080.jpg,women,"amber, cedar, lilyofthevalley, magnolia, rose",fall,night,CHLOE,date,cold,"elegant, friendly",1
Terre D'Hermes,HERMES,https://assets.hermes.com/is/image/hermesproduct/terre-d-hermes-parfum--107757V0-worn-3-0-0-800-800_g.jpg,men,"cedar, patchouli, pepper and pelargonium, vetiver and benzoin",spring,day,HERMES,work,any,"confident, fresh",5
5Th Avenue,Elizabeth Arden,"https://m.media-amazon.com/images/I/71hc+TdoqxL._AC_UF350,350_QL80_.jpg",women,"amber, bulgarian rose, carnation, clove, iris, jasmine, musk, nutmeg, peach, sandalwood, tuberose, vanilla, violet, ylangylang",fall,night,Elizabeth Arden,date,cold,"elegant, friendly",0
Dylan Blue,VERSACE,https://www.versace.com/dw/image/v2/BGWN_PRD/on/demandware.static/-/Sites-ver-master-catalog/default/dw2a9c45f7/original/90_R721010-R100MLS_RNUL_22_DylanBluePourHommeEDT100ml--Versace-online-store_1_1.jpg?sw=1200&q=85&strip=true,men,"ambroxan, black pepper, incense, musk, papyrus, patchouli, saffron, tonka bean, violet leaf",spring,day,VERSACE,date,cold,"confident, fresh",5
Hot Gold,Benetton,http://cdn.fragrancenet.com/images/photos/250x250/218494.jpg,women,"amber, carambola, mimosa, musk, rose, sandalwood",fall,day,Benetton,date,cold,"confident, fresh",0
Invictus,PACO RABANNE,"https://m.media-amazon.com/images/I/51GxBuu0VzL._AC_UF1000,1000_QL80_.jpg",men,"ambregris accord and grapefruit zests, guaiac wood and patchouli heart",spring,day,PACO RABANNE,casual,hot,"confident, fresh",1
Nero Assoluto,Roberto Cavalli,https://i.ebayimg.com/images/g/GY4AAOSwztNg1N4w/s-l1200.jpg,women,"ebony, vanilla, woodsy notes",fall,night,Roberto Cavalli,work,cold,"elegant, friendly",3
Scholar,DORALL COLLECTION,http://webparfums.nl/cdn/shop/files/1870_33779130499229.jpg?v=1741765864,men,"apple, dried fruits, dry woods, green notes, jasmine, lavender, moss, muguet, musk, patchouli, peach, sandalwood, woodyamber",fall,night,DORALL COLLECTION,date,cold,"elegant, friendly",5
Eternity,Calvin Klein,https://i5.walmartimages.com/seo/Calvin-Klein-Eternity-Eau-de-Parfum-Perfume-for-Women-3-4-Oz_d5b35330-3445-4b85-93b0-db212c0be00b.7d57cd130cf2aa529fe04631330bd3e6.jpeg,men,"amber, basil, coriander, jasmine, juniper berries, lily, lilyofthevalley and geranium, musk, orange blossom, sage, sandalwood, vetiver and brazilian rosewood",spring,night,Calvin Klein,date,cold,"elegant, friendly",0
Viva La Juicy Noir,Juicy Couture,"https://m.media-amazon.com/images/I/81ukCNwi6jL._AC_UF1000,1000_QL80_.jpg",women,"amber, caramel, gardenia, honeysuckle and jasmine, vanilla and sandalwood",fall,night,Juicy Couture,date,cold,"elegant, friendly",1
Lady Million,PACO RABANNE,"https://m.media-amazon.com/images/I/61okenEOa0L._AC_UF1000,1000_QL80_.jpg",women,"arabic jasmine and african orange flower, gardenia",fall,night,PACO RABANNE,casual,any,"elegant, friendly",1
giorgio,Giorgio Beverly Hills,"https://m.media-amazon.com/images/I/71h0lU3oqcL._AC_UF1000,1000_QL80_.jpg",women,"amber, cedar, gardenia, jasmine, musk, oakmoss, orchid, patchouli, rose, sandalwood, seductive tuberose, vanilla, ylangylang",fall,night,Giorgio Beverly Hills,date,cold,"elegant, friendly",4
Idylle,Guerlain,https://www.guerlain.com/dw/image/v2/BDCZ_PRD/on/demandware.static/-/Sites-GSA_master_catalog/default/dwf885d10f/primary_packshot_3/2022/Fragrance/Les%20L%C3%A9gendaires/G014320_3346470143203_IDYL-21-EDP-75ML-SPR.jpg?sw=655&sh=655&sfrm=png,women,"amber accord and sandalwood, jasmine and ylang ylang, magnolia",fall,night,Guerlain,date,cold,"elegant, friendly",1
Libre,Yves Saint Laurent,"https://m.media-amazon.com/images/I/712eMUhkqaL._AC_UF1000,1000_QL80_.jpg",women,"amber, jasmine, lavender, musk, orange blossom, vanilla",fall,night,Yves Saint Laurent,date,cold,"elegant, friendly",0
Scandal,Jean Paul GAULTIER,"https://m.media-amazon.com/images/I/51rAIP1wi9L._AC_UF1000,1000_QL80_.jpg",women,"beeswax, caramel, gardenia, honey, jasmine, licorice, orange blossom, patchouli, peach",fall,night,Jean Paul GAULTIER,casual,any,"elegant, friendly",5
Mr. Burberry,BURBERRY,"https://m.media-amazon.com/images/I/819Z0KBAupL._AC_UF1000,1000_QL80_.jpg",men,"amber, benzoin and cinnamon, cedar, lavender, nutmeg, patchouli, sandalwood, vetiver",spring,night,BURBERRY,date,cold,"confident, fresh",2
Raindrops,Ajmal,https://m.media-amazon.com/images/I/613XR5rZ1vL.jpg,women,"animalistic floral, floral ambery woody",fall,night,Ajmal,date,cold,"elegant, friendly",1
Guilty Absolute,GUCCI,https://m.media-amazon.com/images/I/610EnRsS9VL.jpg,women,"amber, bulgarian rose, cypress, patchouli, vetiver, woody notes",fall,night,GUCCI,date,cold,"confident, fresh",2
Mr. Burberry,BURBERRY,"https://m.media-amazon.com/images/I/819Z0KBAupL._AC_UF1000,1000_QL80_.jpg",men,"amber, benzoin cinnamon, cedar, lavender, nutmeg, patchouli, sandalwood, vetiver",spring,night,BURBERRY,date,cold,"confident, fresh",2
ICQ,J.CASANOVA,https://m.media-amazon.com/images/I/41rT6d2-ZpL.jpg,men,"animal, cedar wood, cyclamen, floral, jasmin, patchouli, rosewood, sandalwood, wood, ylangylang",spring,day,J.CASANOVA,work,any,"confident, fresh",5
Cold,UNITED COLORS OF BENETTON,https://m.media-amazon.com/images/I/31iupIYs-GL.jpg,women,"amber, coriander, cumin, frankincense, musk, patchouli, pimiento, vanilla, vetiver",fall,night,UNITED COLORS OF BENETTON,date,cold,"confident, fresh",2
Supreme Bouquet,YSL,https://www.fragrancesline.com/cdn/shop/products/Supreme-Bouquet-Yves-Saint-Laurent-perfume-sample-decants-fragrancesline.jpg?v=1589938173,unisex,"amber, jasmine and ylangylang, musk and patchouli, tuberose",spring,night,YSL,date,cold,"confident, mysterious",1
Tommy,TOMMY HILFIGER,"https://m.media-amazon.com/images/I/71-Cb-3aIXL._AC_UF1000,1000_QL80_.jpg",men,"amber, cactus and cotton, cranberry, rose and apple",spring,night,TOMMY HILFIGER,date,cold,"confident, fresh",1
Safari,RALPH LAUREN,https://www.ralphlaurenfragrances.com/on/demandware.static/-/Sites-ralphlauren-master-catalog/default/dwf8904a08/images/pdp/RLFE024/ralph-lauren-fragrances-safari-for-men-edt-description-tab-desktop.jpg,men,"amber, carnation, cedar, cinnamon, cyclamen, jasmine, leather, musk, oakmoss, patchouli, rose, sandalwood, tarragon",spring,night,RALPH LAUREN,date,cold,"confident, fresh",4
Stronger With You,EMPORIO ARMANI,"https://m.media-amazon.com/images/I/61Hu8u9bjjL._AC_UF1000,1000_QL80_.jpg",men,"amberwood, cedar, chestnut, melon, pineapple, sage, vanilla",spring,night,EMPORIO ARMANI,date,cold,"elegant, friendly",3
Rumba Passion Ted Lapidus,TED LAPIDUS,https://m.media-amazon.com/images/I/71pFgzy6-cL.jpg,women,"jasmine and rose, patchouli, vanilla and honey",fall,night,TED LAPIDUS,casual,cold,"elegant, friendly",5
Dark Blue,HUGO BOSS,https://i.ebayimg.com/images/g/DmcAAOSwt~1je6mH/s-l1200.jpg,men,"benzoin, cypress and sage, olibanum, patchouli and suede, pelargonium",spring,day,HUGO BOSS,casual,any,"confident, fresh",1
Quatre,BOUCHERON,https://i5.walmartimages.com/seo/Boucheron-Quatre-Eau-de-Parfum-Perfume-for-Women-3-3-Oz_c2b82830-7b6b-4919-af94-4c3d2586a855.8fda5defc012b14c66692803f01ea91a.jpeg,women,"apple, caramel, cashmere, fishing, jasmine, musk, rose, vanilla",fall,night,BOUCHERON,date,cold,"elegant, friendly",0
Molto Carina,DORALL COLLECTION,https://m.media-amazon.com/images/I/71kDVqFM3UL.jpg,women,"jasmin, lactone, musk, peach, tropical fruits, water, woody amber",fall,night,DORALL COLLECTION,date,cold,"confident, mysterious",1
Stronger With You Intensely,armani,"https://m.media-amazon.com/images/I/71NyUCUyW2L._AC_UF350,350_QL80_.jpg",men,"ambery woods, vanilla",spring,night,armani,date,cold,"pure, friendly",3
1 Million,PACO RABANNE,https://m.media-amazon.com/images/I/610wK1b2HdL.jpg,men,"amber, indian patchouli, musk and cinnamon bark, rose absolute, woody notes and leather",spring,night,PACO RABANNE,date,cold,"confident, fresh",1
Valentina,VALENTINO,https://m.media-amazon.com/images/I/51xpq-EyqTL.jpg,women,"african orange flower, amber, jasmine, strawberry, tuberose, vanilla, virginia cedar",fall,night,VALENTINO,date,cold,"elegant, friendly",3
Oud 24 Hours,Ard Al Zaafaran,https://m.media-amazon.com/images/I/71KlocwLcEL.jpg,unisex,"amber, fruity notes, gardenia and ylangylang, incense, jasmine, patchouli and agarwood, sandalwood, spicy notes",spring,day,Ard Al Zaafaran,date,cold,"confident, fresh",0
Be Delicious,DKNY,"https://m.media-amazon.com/images/I/71TOIVdvMdL._AC_UF1000,1000_QL80_.jpg",women,"apple, rose and violet, tuberose, white amber and woods, white muguet",fall,night,DKNY,date,cold,"elegant, friendly",1
Modern Muse,Estee Lauder,https://m.esteelauder.com/media/export/cms/products/640x640/el_sku_YF3201_640x640_0.jpg,women,"amber, chinee jasmine, flower petals, honeysuckles, jasmine, lily, musk, patchouli, tuberose, vanilla, woodsy note",fall,night,Estee Lauder,date,cold,"elegant, friendly",0
Good Girl,CAROLINA HERRERA,https://m.media-amazon.com/images/I/71F1oSu-6NL.jpg,women,"bulgarian rose, cashmere wood, cedar, cinnamon, cocoa, jasmine, orange blossom, orris, praline, sandalwood, tonka bean, tuberose",spring,day,CAROLINA HERRERA,work,cold,"confident, fresh",3
Mr.Burberry,BURBERRY,"https://m.media-amazon.com/images/I/61AlnsyU88L._AC_UF1000,1000_QL80_.jpg",men,"birch leaf, cedar, guaiac wood, nutmeg oil, sandalwood, vetiver",spring,night,BURBERRY,work,any,"confident, fresh",2
Ideal,Guerlain,https://www.guerlain.com/dw/image/v2/BDCZ_PRD/on/demandware.static/-/Sites-GSA_master_catalog/default/dwa899995d/primary_packshot_3/2024/FRAGRANCE/LES-MASCULINS-24_SECONDARY-VISUAL_PDP_KV_LHI.jpg?sw=900&sh=900,men,"bulgarian rose, cherry, incense, leather, sandalwood, tonka beans, vanilla",spring,night,Guerlain,date,cold,"confident, fresh",3
Acqua Di Gio,GIORGIO ARMANI,"https://m.media-amazon.com/images/I/71BDgIZdLyL._AC_UF350,350_QL80_.jpg",men,"amber, coriander, freesia and flower of love, musk and cedar, oak moss, peach, rose, sea notes, small coconut, violet",spring,day,GIORGIO ARMANI,date,cold,"confident, fresh",1
Girl of Now Shine,ELIE SAAB,https://i5.walmartimages.com/asr/53c25878-830c-458c-afe2-fbc3770bb1ee.cd2c0db84d673c62d759b680cf36bb46.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,women,"iris, jasmine, roasted almonds and ylangylang, sweet vanilla and patchouli",fall,night,ELIE SAAB,casual,cold,"elegant, friendly",1
Narciso Rodriguez,NARCISO RODRIGUEZ,https://m.media-amazon.com/images/I/719IpQOO-EL.jpg,women,"amber, musk, patchouli, sandalwood",winter,night,NARCISO RODRIGUEZ,date,cold,"confident, fresh",0
Uomo,Roberto Cavalli,https://m.media-amazon.com/images/I/81LiK-Yh6hL.jpg,men,"cedar, honey, lavender",spring,night,Roberto Cavalli,work,any,"elegant, friendly",1
Emblem Absolu,MONTBLANC,https://i5.walmartimages.com/seo/Montblanc-Emblem-Absolu-Eau-De-Toilette-Spray-By-Mont-Blanc-3-4-Oz_e9a0a6c6-7e99-4d72-a650-17ed07844f56.e6c00c5bc69ab8793e42a9fa162fc30b.jpeg,men,"fruits and honey, lavender, patchouli, pink pepper, vetiver and moss",spring,night,MONTBLANC,work,rainy,"confident, fresh",5
Eau de Lacoste L. 12.12 Noir,LACOSTE,"https://m.media-amazon.com/images/I/71KvS8HVeqL._AC_UF1000,1000_QL80_.jpg",men,"basil, cashmeran, coumarin and patchouli, dark chocolate, verbena and lavender",spring,night,LACOSTE,casual,any,"confident, fresh",1
CKIN2U,Calvin Klein,https://i5.walmartimages.com/seo/Calvin-Klein-CKIN2U-For-Her-Eau-de-Toilette-3-3-oz_9c59d468-34f8-41c5-b147-9c755c9fc3c5.b3b7edf972eabf74c56613ef902e8aa3.jpeg,men,"cacao pod, cedar and white musk, vetiver",spring,day,Calvin Klein,date,any,"confident, fresh",2
Florence,Roberto Cavalli,"https://m.media-amazon.com/images/I/81G606+d15L._AC_UF1000,1000_QL80_.jpg",women,"amber, grapefruit blossom, hibiscus seed, musk, orange blossom, patchouli",fall,night,Roberto Cavalli,date,cold,"elegant, friendly",0
Tommy Hilfiger,TOMMY HILFIGER,"https://m.media-amazon.com/images/I/71-Cb-3aIXL._AC_UF1000,1000_QL80_.jpg",men,"amber, cactus and cotton flower, cranberry, rose and granny smith apple",spring,night,TOMMY HILFIGER,date,cold,"confident, fresh",1
Atelier Intense,LE CHAMEAU,http://www.thescentsstore.com/cdn/shop/products/le_chameau_atelier_intense_edt_100ml_for_men.jpg?v=1653339490,men,"amber, ceadarwood, musk, oakmoss, sandalwood, spicy, tonka bean, vetyver",spring,night,LE CHAMEAU,date,cold,"confident, mysterious",0
Genesis Oud Malaki,LE CHAMEAU,https://fimgs.net/mdimg/perfume/375x500.31160.jpg,unisex,"agarwood, apple, musk and vetiver, patchouli and amber",spring,night,LE CHAMEAU,date,cold,"confident, mysterious",1
Tomorrow,AVON,"https://m.media-amazon.com/images/I/716cMgkONRL._AC_UF1000,1000_QL80_.jpg",women,"balsamic, floral, musk, powdery, rose, woody",fall,night,AVON,date,any,"elegant, friendly",1
Signorina Eleganza,Salvatore Ferragamo,"https://m.media-amazon.com/images/I/517gvW3v-vL._AC_UF1000,1000_QL80_.jpg",women,"almond powder and golden osmanthus petals, patchouli and white leather",fall,night,Salvatore Ferragamo,date,any,"elegant, friendly",1
Pour Homme,Carrera,https://i.ebayimg.com/images/g/1rkAAOSwSj1kJwLU/s-l1200.jpg,men,"anise, cedar, cloves and jasmine, ginger, leather, musk, sandalwood and oakmoss, tonka bean",spring,night,Carrera,date,cold,"confident, mysterious",1
Nashwa,DORALL COLLECTION,https://www.scionintl.com/wp-content/uploads/2021/08/dorall-collection-orientals-nashwa-for-women-100ml.jpg,women,"amber, freesia, gardenia, jasmine, lily of the valley, magnolia, musk, patchouli, sandalwood, vanilla",fall,night,DORALL COLLECTION,date,cold,"elegant, friendly",0
