text,label
달콤하던 향이 순식간에 쌉쌀하게 변해 당황스러웠다. 그 순간이 아직도 선명하게 기억난다.,당황
달콤하던 향이 순식간에 쌉쌀하게 변해 당황스러웠다. 그 순간이 아직도 선명하게 기억난다.,당황
처음 맡는 향이라 어떻게 반응해야 할지 몰랐다. 그 순간이 아직도 선명하게 기억난다.,당황
처음 맡는 향이라 어떻게 반응해야 할지 몰랐다. 그 순간이 아직도 선명하게 기억난다.,당황
달콤하던 향이 순식간에 쌉쌀하게 변해 당황스러웠다. 마치 영화 속 한 장면 같았다.,당황
처음 맡는 향이라 어떻게 반응해야 할지 몰랐다. 그 순간이 아직도 선명하게 기억난다.,당황
처음 맡는 향이라 어떻게 반응해야 할지 몰랐다. 마치 영화 속 한 장면 같았다.,당황
스모키한 잔향이 화를 돋우는 듯해 불쾌했다.,분노
스모키한 잔향이 화를 돋우는 듯해 불쾌했다.,분노
진한 머스크 향이 숨을 막히게 하며 짜증을 유발했다. 향이 오랫동안 잊히지 않았다.,분노
매우 강하고 공격적인 향이 나를 자극해 기분이 상했다. 그 순간이 아직도 선명하게 기억난다.,분노
스모키한 잔향이 화를 돋우는 듯해 불쾌했다. 마치 영화 속 한 장면 같았다.,분노
매우 강하고 공격적인 향이 나를 자극해 기분이 상했다. 마치 영화 속 한 장면 같았다.,분노
스모키한 잔향이 화를 돋우는 듯해 불쾌했다.,분노
스모키한 잔향이 화를 돋우는 듯해 불쾌했다. 향이 오랫동안 잊히지 않았다.,분노
스모키한 잔향이 화를 돋우는 듯해 불쾌했다.,분노
스모키한 잔향이 화를 돋우는 듯해 불쾌했다. 마치 영화 속 한 장면 같았다.,분노
매우 강하고 공격적인 향이 나를 자극해 기분이 상했다. 그 순간이 아직도 선명하게 기억난다.,분노
매우 강하고 공격적인 향이 나를 자극해 기분이 상했다. 그 순간이 아직도 선명하게 기억난다.,분노
스모키한 잔향이 화를 돋우는 듯해 불쾌했다.,분노
매우 강하고 공격적인 향이 나를 자극해 기분이 상했다. 그 순간이 아직도 선명하게 기억난다.,분노
스모키한 잔향이 화를 돋우는 듯해 불쾌했다.,분노
진한 머스크 향이 숨을 막히게 하며 짜증을 유발했다.,분노
진한 머스크 향이 숨을 막히게 하며 짜증을 유발했다. 향이 오랫동안 잊히지 않았다.,분노
스모키한 잔향이 화를 돋우는 듯해 불쾌했다. 향이 오랫동안 잊히지 않았다.,분노
진한 머스크 향이 숨을 막히게 하며 짜증을 유발했다. 향이 오랫동안 잊히지 않았다.,분노
스모키한 잔향이 화를 돋우는 듯해 불쾌했다. 마치 영화 속 한 장면 같았다.,분노
매우 강하고 공격적인 향이 나를 자극해 기분이 상했다. 향이 오랫동안 잊히지 않았다.,분노
진한 머스크 향이 숨을 막히게 하며 짜증을 유발했다. 향이 오랫동안 잊히지 않았다.,분노
매우 강하고 공격적인 향이 나를 자극해 기분이 상했다. 그 순간이 아직도 선명하게 기억난다.,분노
매우 강하고 공격적인 향이 나를 자극해 기분이 상했다.,분노
매우 강하고 공격적인 향이 나를 자극해 기분이 상했다. 그 순간이 아직도 선명하게 기억난다.,분노
조용한 나무 향이 잊고 있던 아픈 기억을 건드렸다. 마치 영화 속 한 장면 같았다.,상처
묵직한 향이 오래된 상처를 다시 꺼내보게 만들었다. 그 순간이 아직도 선명하게 기억난다.,상처
말라버린 장미 향에서 지난 이별이 떠올라 마음이 저릿했다.,상처
조용한 나무 향이 잊고 있던 아픈 기억을 건드렸다. 그 순간이 아직도 선명하게 기억난다.,상처
조용한 나무 향이 잊고 있던 아픈 기억을 건드렸다.,상처
조용한 나무 향이 잊고 있던 아픈 기억을 건드렸다. 향이 오랫동안 잊히지 않았다.,상처
조용한 나무 향이 잊고 있던 아픈 기억을 건드렸다. 향이 오랫동안 잊히지 않았다.,상처
말라버린 장미 향에서 지난 이별이 떠올라 마음이 저릿했다.,상처
말라버린 장미 향에서 지난 이별이 떠올라 마음이 저릿했다.,상처
말라버린 장미 향에서 지난 이별이 떠올라 마음이 저릿했다.,상처
말라버린 장미 향에서 지난 이별이 떠올라 마음이 저릿했다. 마치 영화 속 한 장면 같았다.,상처
조용한 나무 향이 잊고 있던 아픈 기억을 건드렸다. 마치 영화 속 한 장면 같았다.,상처
묵직한 향이 오래된 상처를 다시 꺼내보게 만들었다. 그 순간이 아직도 선명하게 기억난다.,상처
말라버린 장미 향에서 지난 이별이 떠올라 마음이 저릿했다. 그 순간이 아직도 선명하게 기억난다.,상처
묵직한 향이 오래된 상처를 다시 꺼내보게 만들었다. 마치 영화 속 한 장면 같았다.,상처
말라버린 장미 향에서 지난 이별이 떠올라 마음이 저릿했다. 그 순간이 아직도 선명하게 기억난다.,상처
조용한 나무 향이 잊고 있던 아픈 기억을 건드렸다. 그 순간이 아직도 선명하게 기억난다.,상처
조용한 나무 향이 잊고 있던 아픈 기억을 건드렸다. 향이 오랫동안 잊히지 않았다.,상처
말라버린 장미 향에서 지난 이별이 떠올라 마음이 저릿했다.,상처
묵직한 향이 오래된 상처를 다시 꺼내보게 만들었다.,상처
묵직한 향이 오래된 상처를 다시 꺼내보게 만들었다. 그 순간이 아직도 선명하게 기억난다.,상처
묵직한 향이 오래된 상처를 다시 꺼내보게 만들었다. 향이 오랫동안 잊히지 않았다.,상처
묵직한 향이 오래된 상처를 다시 꺼내보게 만들었다. 향이 오랫동안 잊히지 않았다.,상처
조용한 나무 향이 잊고 있던 아픈 기억을 건드렸다. 향이 오랫동안 잊히지 않았다.,상처
묵직한 향이 오래된 상처를 다시 꺼내보게 만들었다.,상처
쓸쓸한 비 오는 날을 떠올리게 하는 향에 눈물이 맺혔다. 마치 영화 속 한 장면 같았다.,슬픔
마음 한 켠이 허전해지는 향이었다. 향이 오랫동안 잊히지 않았다.,슬픔
서늘하고 푸른 계열의 향이 깊은 외로움을 불러일으켰다.,슬픔
쓸쓸한 비 오는 날을 떠올리게 하는 향에 눈물이 맺혔다. 그 순간이 아직도 선명하게 기억난다.,슬픔
쓸쓸한 비 오는 날을 떠올리게 하는 향에 눈물이 맺혔다.,슬픔
서늘하고 푸른 계열의 향이 깊은 외로움을 불러일으켰다. 그 순간이 아직도 선명하게 기억난다.,슬픔
쓸쓸한 비 오는 날을 떠올리게 하는 향에 눈물이 맺혔다. 마치 영화 속 한 장면 같았다.,슬픔
서늘하고 푸른 계열의 향이 깊은 외로움을 불러일으켰다. 그 순간이 아직도 선명하게 기억난다.,슬픔
쓸쓸한 비 오는 날을 떠올리게 하는 향에 눈물이 맺혔다. 그 순간이 아직도 선명하게 기억난다.,슬픔
쓸쓸한 비 오는 날을 떠올리게 하는 향에 눈물이 맺혔다. 향이 오랫동안 잊히지 않았다.,슬픔
쓸쓸한 비 오는 날을 떠올리게 하는 향에 눈물이 맺혔다. 그 순간이 아직도 선명하게 기억난다.,슬픔
서늘하고 푸른 계열의 향이 깊은 외로움을 불러일으켰다.,슬픔
쓸쓸한 비 오는 날을 떠올리게 하는 향에 눈물이 맺혔다. 마치 영화 속 한 장면 같았다.,슬픔
서늘하고 푸른 계열의 향이 깊은 외로움을 불러일으켰다. 마치 영화 속 한 장면 같았다.,슬픔
마음 한 켠이 허전해지는 향이었다. 마치 영화 속 한 장면 같았다.,슬픔
마음 한 켠이 허전해지는 향이었다. 향이 오랫동안 잊히지 않았다.,슬픔
쓸쓸한 비 오는 날을 떠올리게 하는 향에 눈물이 맺혔다.,슬픔
마음 한 켠이 허전해지는 향이었다. 그 순간이 아직도 선명하게 기억난다.,슬픔
서늘하고 푸른 계열의 향이 깊은 외로움을 불러일으켰다. 마치 영화 속 한 장면 같았다.,슬픔
쓸쓸한 비 오는 날을 떠올리게 하는 향에 눈물이 맺혔다.,슬픔
마음 한 켠이 허전해지는 향이었다. 향이 오랫동안 잊히지 않았다.,슬픔
마음 한 켠이 허전해지는 향이었다. 마치 영화 속 한 장면 같았다.,슬픔
쓸쓸한 비 오는 날을 떠올리게 하는 향에 눈물이 맺혔다. 향이 오랫동안 잊히지 않았다.,슬픔
마음 한 켠이 허전해지는 향이었다. 향이 오랫동안 잊히지 않았다.,슬픔
쓸쓸한 비 오는 날을 떠올리게 하는 향에 눈물이 맺혔다. 그 순간이 아직도 선명하게 기억난다.,슬픔
무거운 스모키 향이 하루 종일 우울하게 만들었다.,우울
짙고 텁텁한 잔향이 기분을 가라앉혔다. 향이 오랫동안 잊히지 않았다.,우울
짙고 텁텁한 잔향이 기분을 가라앉혔다. 향이 오랫동안 잊히지 않았다.,우울
무거운 스모키 향이 하루 종일 우울하게 만들었다. 향이 오랫동안 잊히지 않았다.,우울
짙고 텁텁한 잔향이 기분을 가라앉혔다.,우울
짙고 텁텁한 잔향이 기분을 가라앉혔다.,우울
어두운 분위기의 향이 마음을 깊은 곳까지 침잠시켰다. 그 순간이 아직도 선명하게 기억난다.,우울
무거운 스모키 향이 하루 종일 우울하게 만들었다. 마치 영화 속 한 장면 같았다.,우울
무거운 스모키 향이 하루 종일 우울하게 만들었다.,우울
짙고 텁텁한 잔향이 기분을 가라앉혔다. 마치 영화 속 한 장면 같았다.,우울
무거운 스모키 향이 하루 종일 우울하게 만들었다. 마치 영화 속 한 장면 같았다.,우울
짙고 텁텁한 잔향이 기분을 가라앉혔다.,우울
어두운 분위기의 향이 마음을 깊은 곳까지 침잠시켰다.,우울
어두운 분위기의 향이 마음을 깊은 곳까지 침잠시켰다. 마치 영화 속 한 장면 같았다.,우울
무거운 스모키 향이 하루 종일 우울하게 만들었다. 마치 영화 속 한 장면 같았다.,우울
어두운 분위기의 향이 마음을 깊은 곳까지 침잠시켰다. 그 순간이 아직도 선명하게 기억난다.,우울
무거운 스모키 향이 하루 종일 우울하게 만들었다. 그 순간이 아직도 선명하게 기억난다.,우울
무거운 스모키 향이 하루 종일 우울하게 만들었다. 마치 영화 속 한 장면 같았다.,우울
짙고 텁텁한 잔향이 기분을 가라앉혔다. 마치 영화 속 한 장면 같았다.,우울
짙고 텁텁한 잔향이 기분을 가라앉혔다. 향이 오랫동안 잊히지 않았다.,우울
짙고 텁텁한 잔향이 기분을 가라앉혔다. 그 순간이 아직도 선명하게 기억난다.,우울
무거운 스모키 향이 하루 종일 우울하게 만들었다.,우울
어두운 분위기의 향이 마음을 깊은 곳까지 침잠시켰다. 향이 오랫동안 잊히지 않았다.,우울
어두운 분위기의 향이 마음을 깊은 곳까지 침잠시켰다. 마치 영화 속 한 장면 같았다.,우울
어두운 분위기의 향이 마음을 깊은 곳까지 침잠시켰다. 향이 오랫동안 잊히지 않았다.,우울
새로운 향을 처음 맡았을 때 짜릿한 전율이 느껴졌다. 마치 영화 속 한 장면 같았다.,흥분
상큼한 과일 향이 기대감을 한껏 끌어올렸다. 마치 영화 속 한 장면 같았다.,흥분
톡 쏘는 시트러스 향이 순간 심장을 두근거리게 했다. 그 순간이 아직도 선명하게 기억난다.,흥분
상큼한 과일 향이 기대감을 한껏 끌어올렸다. 향이 오랫동안 잊히지 않았다.,흥분
새로운 향을 처음 맡았을 때 짜릿한 전율이 느껴졌다. 마치 영화 속 한 장면 같았다.,흥분
톡 쏘는 시트러스 향이 순간 심장을 두근거리게 했다. 그 순간이 아직도 선명하게 기억난다.,흥분
새로운 향을 처음 맡았을 때 짜릿한 전율이 느껴졌다. 마치 영화 속 한 장면 같았다.,흥분
새로운 향을 처음 맡았을 때 짜릿한 전율이 느껴졌다.,흥분
톡 쏘는 시트러스 향이 순간 심장을 두근거리게 했다. 마치 영화 속 한 장면 같았다.,흥분
새로운 향을 처음 맡았을 때 짜릿한 전율이 느껴졌다. 그 순간이 아직도 선명하게 기억난다.,흥분
톡 쏘는 시트러스 향이 순간 심장을 두근거리게 했다.,흥분
톡 쏘는 시트러스 향이 순간 심장을 두근거리게 했다. 향이 오랫동안 잊히지 않았다.,흥분
새로운 향을 처음 맡았을 때 짜릿한 전율이 느껴졌다. 향이 오랫동안 잊히지 않았다.,흥분
톡 쏘는 시트러스 향이 순간 심장을 두근거리게 했다.,흥분
새로운 향을 처음 맡았을 때 짜릿한 전율이 느껴졌다. 그 순간이 아직도 선명하게 기억난다.,흥분
새로운 향을 처음 맡았을 때 짜릿한 전율이 느껴졌다.,흥분
상큼한 과일 향이 기대감을 한껏 끌어올렸다. 마치 영화 속 한 장면 같았다.,흥분
새로운 향을 처음 맡았을 때 짜릿한 전율이 느껴졌다. 마치 영화 속 한 장면 같았다.,흥분
톡 쏘는 시트러스 향이 순간 심장을 두근거리게 했다. 그 순간이 아직도 선명하게 기억난다.,흥분
톡 쏘는 시트러스 향이 순간 심장을 두근거리게 했다. 그 순간이 아직도 선명하게 기억난다.,흥분
상큼한 과일 향이 기대감을 한껏 끌어올렸다. 향이 오랫동안 잊히지 않았다.,흥분
상큼한 과일 향이 기대감을 한껏 끌어올렸다.,흥분
상큼한 과일 향이 기대감을 한껏 끌어올렸다. 마치 영화 속 한 장면 같았다.,흥분
새로운 향을 처음 맡았을 때 짜릿한 전율이 느껴졌다. 마치 영화 속 한 장면 같았다.,흥분
새로운 향을 처음 맡았을 때 짜릿한 전율이 느껴졌다.,흥분
